Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201811,11460,"Ann Arbor, MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,479550,0.0202,0.2295,2150,0,-0.0285,215.4740572,-0.0299,0.1878,15.5,-0.0882,-0.0882,0.258,0.4625,0.7551,87.75,3.75,0.0446,-37.75,-0.3008,0,-1,,0,,,2,-0.5,,2,1,1,17.5,-0.0278,-0.0278,0.129,0.0702,0.0702,-0.0098,0.0416,0.0935,0.1471,0,0
201811,24060,"Glenwood Springs, CO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,3472550,-0.0089,0.1339,2874.5,-0.0048,-0.0093,1143.115158,-0.0092,0.1062,45.5,-0.0714,-0.099,0.1318,0.6151,2.3367,140.75,0.75,0.0054,-109.75,-0.4381,6,0,,0,,,4,1,1,7,0.4,-0.1765,52.5,-0.0278,-0.1102,0.1538,0.0518,-0.0145,-0.2309,0.3712,-0.1912,0.5278,0,0
201811,27100,"Jackson, MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,349950,-0.0279,,3402,-0.0475,,102.851264,0.0195,,1,-0.5,,0,-1,,42.5,25.25,1.4638,,,0,,,0,,,0,,,0,,,1,-0.5,,0,0,,-0.7394,,-0.5114,,0,0
201811,30140,"Lebanon, PA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,98819.25,0.0986,0.1428,1948.5,0.1598,-0.0573,58.13197398,0.0113,-0.0981,6,1,-0.6,0.1667,-0.4999,0.0006,73.5,31,0.7294,19,0.3486,0,,-1,0,,,4,1,0,0,,,6,1,-0.6,0,0,0,0.3263,-0.2357,-0.1867,0.7308,0,0
201811,44100,"Springfield, IL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,299050,0,0.5047,3862,0,0.4178,75.92592593,0,-0.055,7,0,1,0.1429,-0.3332,0.0007,79,24.5,0.4495,-20,-0.202,0,,,0,,,0,-1,,0,,,7,0,1,0,0,0,-0.2265,0.825,-0.2243,-0.1531,0,0
201811,12420,"Austin-Round Rock, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,524500,-0.0659,0.4608,2434.5,-0.0524,0.0679,226.6320778,0.0408,0.3726,45,-0.0217,-0.1964,0.1444,0.4764,-0.4944,74,18.5,0.3333,-8,-0.0976,12,2,-0.4,2,-0.6667,0,2,-0.75,-0.8,26.5,0,0.359,71.5,-0.0138,-0.053,0.5889,0.0128,0.2407,0.0481,-0.2975,0.0667,-0.1398,1,0
201811,36980,"Owensboro, KY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,519950,0,0.9617,3390,0,0.2826,153.3628319,0,0.5295,2,0,,0,-1,,50.5,28,1.2444,23.5,0.8704,0,,,0,,,0,,,0,,,2,0,,0,0,,-0.4043,,-0.4348,,0,0
201811,18100,"Columbus, NE",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,244950,0,,1459,0,,167.854695,0,,1,0,,0,,,259.5,28,0.121,,,0,,,0,,,0,,,0,,,1,0,,0,0,,0.2381,,0.2381,,0,0
201811,38060,"Phoenix-Mesa-Scottsdale, AZ",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,352550,-0.0138,0.0108,2205,-0.0125,0.0706,164.1414141,0.0188,-0.0186,67.5,-0.0146,-0.069,0.3333,0.0149,-0.2892,55.25,6,0.1218,23,0.7132,22,-0.0833,-0.2143,0,,-1,16,-0.4286,-0.2,17.5,,,85,0.2409,0.1724,0.2593,0.2593,0.2593,-0.2128,-0.0405,-0.2327,0.0915,1,0
201811,35940,"Norwalk, OH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,117050,-0.2377,-0.4656,1888,-0.011,-0.0338,61.97033898,-0.2274,-0.4471,1,1,0,1,-0.5,,22.5,-45,-0.6667,-167,-0.8813,0,-1,,0,,,0,,,0,,,1,1,0,0,0,0,-0.5692,-0.3171,-0.7021,-0.3171,0,0
201811,36740,"Orlando-Kissimmee-Sanford, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,284522.75,-0.0282,0.0775,1914,-0.011,0.0063,144.2423127,-0.0185,0.0139,172.5,-0.0115,-0.1353,0.2406,-0.0562,0.4546,77,1.75,0.0233,-40.5,-0.3447,44,-0.0833,0.2941,0,-1,-1,34,-0.2273,0.1333,84,0.0566,-0.1683,256.5,0.0098,-0.1464,0.487,0.0314,-0.0193,-0.1284,0.0489,-0.1221,0.2105,0,0
201811,31940,"Marinette, WI-MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,329950,0,,2448,0,,134.7630719,0,,0,-1,,,,,3.5,-147,-0.9767,,,0,,,0,,,0,,,0,,,0,-1,,,,,-0.7727,,,,0,0
201811,35740,"Norfolk, NE",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,340050,0,0.0692,2950,0,-0.0258,115.2542373,0,0.0974,1,0,0,0,-1,-1,61.5,28,0.8358,54,7.2,0,,,0,,,0,,,0,,,1,0,0,0,0,0,-0.2431,-0.584,-0.2431,-0.7322,0,0
201811,14500,"Boulder, CO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,570550,-0.0165,-0.3944,2131,-0.0218,-0.0427,230.6212718,0,-0.3435,46.5,-0.1389,0.7885,0.0967,-0.4503,-0.7042,126.25,38.25,0.4347,85,2.0606,2,-0.6667,-0.6667,0,,,4,-0.8,1,3,0.2,-0.5385,49.5,-0.1239,0.5231,0.0645,0.0182,-0.1855,-0.3922,-0.0522,-0.2785,-0.3667,1,0
201811,30780,"Little Rock-North Little Rock-Conway, AR",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,84950,-0.1845,-0.6682,1875,-0.0164,-0.3157,50.13297019,-0.0368,-0.4607,8,0.6,3,0.375,-0.0625,-0.25,60,-52.5,-0.4667,6,0.1111,0,,,0,,,0,,,0,,,8,0.6,3,0,0,0,-0.1678,0.7117,-0.487,-0.5786,0,0
201811,17460,"Cleveland-Elyria, OH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,433725,-0.0623,0.2255,2931.75,-0.0287,0.2209,110.4167968,-0.0511,-0.0967,31,0.069,0.2917,0.1935,-0.4092,0.0325,68.5,-5.25,-0.0712,-55,-0.4453,0,-1,-1,0,,,0,-1,-1,6,0.2,0.0909,37,0.0882,0.2542,0.1935,0.0211,-0.0356,-0.2691,0.5057,-0.3041,0.0942,0,0
201811,42620,"Searcy, AR",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,229950,0,-0.1258,3293,0,0,69.81475858,0,-0.1259,0.5,-0.5,-0.5,0,,-1,220.5,-17,-0.0716,200,9.7561,0,,,0,,,0,,,0,,,0.5,-0.5,-0.5,0,0,0,,-1,,-1,0,0
201811,46700,"Vallejo-Fairfield, CA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,465050,-0.0231,0.5245,2002,-0.0324,0.1763,235.1864549,0.0222,0.3124,0.5,-0.5,-0.6667,2,3,,28.5,-5,-0.1493,-88,-0.7554,0,,,0,,-1,0,,,0,,,0.5,-0.5,-0.6667,0,0,0,-0.8991,-0.9788,-0.9541,-0.9855,0,0
201811,11740,"Ashland, OH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_4,199050,0,,1954,0,,101.8423746,0,,0,-1,,,,,26,14,1.1667,,,0,,,0,,,0,,,0,,,0,-1,,,,,-0.5429,,-0.2857,,0,0
