Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201811,25620,"Hattiesburg, MS",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,66425,-0.1618,-0.4199,1385,0.0492,,57.30015674,-0.0414,,3,-0.5,0.5,0.3333,0.9994,-0.3334,95,26,0.3768,47.5,1,0,,,0,,,2,,,0,,,3,-0.5,0.5,0,0,0,-0.197,0.9947,0.4824,0.3404,0,1
201811,26420,"Houston-The Woodlands-Sugar Land, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,225000,-0.0066,0.0392,1340,-0.0056,0.0256,163.3758965,-0.0024,0.0127,1130,-0.0371,0.1901,0.2327,-0.2176,-0.2393,67,8.5,0.1453,1.25,0.019,280,-0.2222,-0.125,6,-0.625,-0.5,240,-0.2357,0.2245,291,-0.049,-0.1046,1421,-0.0395,0.1149,0.2575,-0.0032,-0.0848,-0.111,0.0877,-0.0833,-0.0833,0,0
201811,12940,"Baton Rouge, LA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,139550,0.0131,0.0739,1211,-0.0033,0.0025,115.0661173,0.0191,0.0498,254,0.0367,0.2241,0.1811,-0.1466,-0.0718,87.25,4.75,0.0576,-11.75,-0.1187,36,-0.4857,-0.0526,2,,0,38,-0.05,0.5833,1.5,-0.25,0.5,255.5,0.0344,0.2254,0.0059,-0.0023,0.0011,-0.051,0.1248,-0.1034,-0.0714,0,0
201811,37020,"Owosso, MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,72750,-0.0027,-0.0607,802,-0.168,-0.168,94.45182832,0.2489,0.2156,2,1,0,0.5,,,406,-365.5,-0.4738,-28.5,-0.0656,0,,,0,,,0,,,0,,,2,1,0,0,0,0,2.4091,74,0.6818,73,0,0
201811,10540,"Albany, OR",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,175850,-0.0742,0.2792,1249.5,0,0.0363,140.4130155,-0.0613,0.2251,2.5,-0.1667,-0.5833,0.3999,-0.4002,1.3989,32.5,10.5,0.4773,-46,-0.586,0,-1,-1,0,,,0,,,0,,,2.5,-0.1667,-0.5833,0,0,0,-0.3351,-0.0593,-0.1941,0.7125,0,0
201811,31580,"Madisonville, KY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,149950,0,0.0345,1200,0,0,124.9166667,0,0.0345,2,0,0,0,,-1,124.5,28,0.2902,104,5.0732,0,,,0,,,0,,,0,,,2,0,0,0,0,0,0.0682,-0.4471,0.0455,-0.4524,0,0
201811,15980,"Cape Coral-Fort Myers, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,199050,-0.0013,-0.005,1230.25,-0.0014,-0.0103,155.2130062,-0.0008,0.0078,1695,0.0803,0.0921,0.2474,0.0218,-0.1017,76,-17.5,-0.1872,-16,-0.1739,454,0.0044,-0.0381,26,1.6,0.8571,270,0,-0.106,330.5,0.003,-0.0664,2025.5,0.0669,0.0627,0.195,-0.015,-0.0331,0.0795,0.1107,-0.0145,0,0,0
201811,22420,"Flint, MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,176500,0.007,0.1391,1300,0,-0.0299,134.3142136,0.0075,0.2111,70.5,-0.0342,0.2155,0.2624,-0.1292,0.0874,61,2.25,0.0383,-8.75,-0.1254,24,-0.1429,0.2,2,0,0,20,0.25,0.1111,17.5,-0.2391,,88,-0.0833,0.5172,0.2482,-0.0668,0.2482,-0.2687,-0.1765,-0.2621,-0.3395,1,0
201811,14580,"Bozeman, MT",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,352425,0.078,0.0727,1309.5,-0.0004,-0.0034,240.893032,0.0533,-0.1829,25,-0.1071,-0.3976,0.22,-0.4134,-0.4782,62.75,17.75,0.3944,18.25,0.4101,6,-0.4,-0.625,0,,,4,1,1,26.5,-0.0364,-0.4752,51.5,-0.0721,-0.4402,1.06,0.0779,-0.1569,-0.1873,-0.1423,-0.0811,0.3973,1,0
201811,33780,"Monroe, MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,145050,0.0744,-0.2575,1253,0,-0.1096,128.5467578,0.0959,-0.0256,10.5,0.1053,0.75,0.3333,-0.5477,0.9994,43.5,22,1.0233,-24,-0.3556,4,-0.3333,,0,,,2,,,3.5,0.4,,14,0.1667,1.3333,0.3333,0.0702,0.3333,-0.3689,0.8756,-0.3,0.3417,1,0
201811,19780,"Des Moines-West Des Moines, IA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,185457.5,0.0751,0.0961,1326,0.0107,0.0111,136.6423991,0.008,0.0717,196,-0.0025,0.2564,0.3035,-0.0378,0.0073,63.5,4.5,0.0763,8.75,0.1598,64,-0.2195,0.28,4,,1,32,-0.2727,0.1429,110.5,-0.1597,0.0091,306.5,-0.0655,0.1544,0.5638,-0.1054,-0.1381,-0.1459,0.202,-0.1525,-0.0476,0,0
201811,14820,"Brevard, NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,139050,-0.0702,-0.1998,1250,0,0,119.4104803,-0.045,-0.0928,26,-0.0189,-0.2353,0.1154,0.0203,-0.5641,145.25,4.75,0.0338,-27.5,-0.1592,2,0,-0.6667,0,,,0,,,3.5,-0.2222,,29.5,-0.0484,-0.1324,0.1346,-0.0352,0.1346,-0.0594,0.0435,-0.0294,0.375,0,0
201811,36300,"Ogdensburg-Massena, NY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,162500,-0.0017,-0.0149,1100,0,0,147.6818182,-0.0017,-0.0149,2,0,-0.7778,0,,,142.5,7,0.0517,23,0.1925,0,,,0,,,0,,,0,,,2,0,-0.7778,0,0,0,-0.2564,-0.3256,-0.0667,1,0,0
201811,43260,"Sheridan, WY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,198025,0.2262,0.0314,1070,-0.0614,-0.1388,190.4959588,0.0807,0.1382,4,-0.1111,-0.3333,0,,-1,95,32.5,0.52,49,1.0652,0,,-1,0,,,0,,,0,,,4,-0.1111,-0.3333,0,0,0,-0.2523,-0.3306,-0.0455,-0.0455,0,0
201811,46060,"Tucson, AZ",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,174772.5,-0.0143,0.0589,1243.75,0.003,-0.0659,138.1922054,0.0042,0.0975,221,0.1362,-0.2149,0.4389,-0.0461,0.2608,38.5,0,0,-14,-0.2667,106,-0.197,-0.1719,0,,-1,74,0.85,0.5417,176.5,-0.014,0.0569,397.5,0.0643,-0.1137,0.7986,-0.1217,0.2054,0.01,0.1087,-0.1053,0.3357,1,0
201811,40620,"Rolla, MO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,110550,0,0.6378,1250,0,0.4749,88.4,0,0.1095,2,-0.3333,0,0,,-1,131.25,33.75,0.3462,45,0.5217,0,,,0,,,0,-1,,0,,,2,-0.3333,0,0,0,0,-0.4386,-0.36,-0.2973,-0.4694,0,0
201811,41100,"St. George, UT",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,236100,-0.016,0.1951,1298,0.0062,0.1127,177.2519119,-0.0643,0.1166,74,0.2759,1.1449,0.3716,-0.2162,-0.1452,37.25,3.75,0.1119,-3.25,-0.0802,28,-0.0667,0.4,0,,,16,0.3333,0.6,6.5,0,0.0833,80.5,0.2481,0.9877,0.0878,-0.0242,-0.0861,0.2782,0.5749,-0.0439,-0.155,0,0
201811,34540,"Mount Vernon, OH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,221101,-0.0146,0.1731,1547,0,0.1498,142.4133807,-0.0115,0.2295,5,-0.3333,-0.375,0,-1,-1,531.5,28,0.0556,387.25,2.6846,0,,,0,,,0,,,0,,-1,5,-0.3333,-0.4444,0,0,-0.125,-0.8824,-0.8556,-0.6185,-0.2747,0,0
201811,46340,"Tyler, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,266050,0,-0.0983,1962,0,0,122.3701159,0,-0.1576,21,-0.0233,0.5,0.0952,-0.3176,-0.4667,149.5,28.25,0.233,-38.25,-0.2037,2,-0.5,-0.5,0,,,0,-1,,1.5,-0.25,,22.5,-0.0426,0.6071,0.0714,-0.0216,0.0714,-0.0888,1.4701,-0.0351,0.7742,0,0
201811,17060,"Chillicothe, OH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,87450,-0.2223,-0.5337,1254,-0.2,-0.1601,69.6969697,-0.028,-0.4422,1,-0.3333,0,0,,,141.5,29.75,0.2662,68,0.9252,0,,,0,,,0,,,0,,,1,-0.3333,0,0,0,0,-0.3584,0.3214,0.0374,0.2907,0,0
201811,41140,"St. Joseph, MO-KS",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,220025,0.1579,-0.1197,1451.75,-0.0026,-0.0224,146.164901,0.2512,-0.1315,7,0,6,0.3571,0.6663,-0.6429,50.5,-44.5,-0.4684,37.5,2.8846,0,-1,,0,,,0,,,0,,,7,0,6,0,0,0,-0.099,,0.0127,,0,0
201811,24540,"Greeley, CO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,269050,0,0.1514,1358,0.0478,0.0507,180.7417223,-0.0052,0.0715,76.5,-0.1053,0.1953,0.3268,-0.2743,0.046,43,8.5,0.2464,-10.5,-0.1963,22,-0.3529,0.375,0,,-1,14,-0.2222,2.5,28,-0.1515,27,104.5,-0.1181,0.6077,0.366,-0.02,0.3504,-0.1041,0.0016,-0.0135,-0.0988,1,0
201811,13740,"Billings, MT",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,203700,0.0565,0.1982,1285.75,-0.0073,-0.1099,141.6756728,0.0248,0.0083,66,-0.0704,0.2453,0.2575,-0.0378,-0.2816,60.75,-4.75,-0.0725,14.25,0.3065,10,-0.375,0.25,0,,,6,2,0.5,0,,,66,-0.0704,0.2453,0,0,0,-0.1559,-0.2044,-0.0825,-0.454,0,0
201811,46220,"Tuscaloosa, AL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,154950,0,0.1106,1112.5,-0.0013,0.0595,148.3716475,-0.0084,0,121.5,0.0474,0.1912,0.1357,-0.0738,0.629,103.25,-40.5,-0.2817,-73.25,-0.415,12,1,-0.25,0,,,0,,-1,2,1,,123.5,0.0556,0.2108,0.0165,0.0078,0.0165,-0.027,0.2452,-0.08,0.0455,0,0
201811,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,324775,-0.0091,0.0038,1149.5,0.0061,-0.003,275.3656955,-0.0099,-0.0143,2074.5,-0.0927,-0.157,0.368,-0.1438,0.0496,43,5.5,0.1467,-3,-0.0652,694,-0.3074,-0.2473,48,-0.04,0.0909,444,-0.3602,-0.1808,1.5,0.5,0.5,2076,-0.0925,-0.1568,0.0007,0.0003,0.0003,0.0802,0.0516,0.1636,0.2549,0,0
201811,16220,"Casper, WY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,99550,0,-0.0173,950,-0.0256,-0.05,85.57894737,-0.0957,-0.3107,11,0.0476,1.2,0.1363,-0.5228,-0.6593,89.5,29,0.4793,48,1.1566,0,-1,,0,,,6,2,,0,,,11,0.0476,1.2,0,0,0,-0.0236,1.5323,-0.0658,0.1452,0,0
201811,19740,"Denver-Aurora-Lakewood, CO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,295050,-0.0112,-0.0765,1227,0,-0.0503,241.586036,-0.0076,-0.0171,1826.5,-0.057,1.5908,0.349,-0.1167,-0.1985,44.5,6,0.1558,4,0.0988,580,-0.2204,0.0357,26,-0.4091,-0.0714,468,-0.1761,1.1667,20,-0.1837,-0.5,1846.5,-0.0586,1.4785,0.0109,-0.0017,-0.0458,-0.0501,0.1477,0.0103,-0.5586,0,0
201811,45220,"Tallahassee, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,113550,-0.0236,0.161,1118,-0.0053,0.0009,105.0761466,0.0114,0.1251,128.5,-0.062,-0.0551,0.2139,0.1059,-0.2345,87,13,0.1757,18,0.2609,28,0.5556,-0.44,0,,-1,10,-0.2857,-0.375,4,-0.5,-0.619,132.5,-0.0862,-0.0956,0.0311,-0.0273,-0.0461,0.0661,-0.0448,0.0923,-0.0405,0,0
201811,29420,"Lake Havasu City-Kingman, AZ",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,191875,-0.0818,0.063,1114,-0.0243,-0.0091,168.1808545,-0.0408,0.1079,44,-0.0638,-0.3125,0.2613,0.2929,-0.2221,99.75,9.75,0.1083,34.5,0.5287,14,0,-0.125,0,,,8,1,1,10,0.1111,,54,-0.0357,-0.1563,0.2273,0.0358,0.2273,-0.0313,-0.358,0.0333,0,1,0
201811,42740,"Sedalia, MO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,82637.5,0.1822,0.3138,1288.5,0.1263,0.1756,65.50170969,0.0727,0.1234,8.5,0.2143,0.8889,0.4705,1.1965,1.1174,55.5,-10.75,-0.1623,2,0.0374,0,,,0,,,0,,,0,,,8.5,0.2143,0.8889,0,0,0,0.1243,0.3223,-0.0469,-0.2824,0,0
201811,28940,"Knoxville, TN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,163000,-0.0335,-0.0409,1191.5,-0.0806,-0.0939,121.9036154,0.0083,-0.0126,93.5,0.0686,-0.2863,0.3636,0.0786,0.4219,53.25,-8.25,-0.1341,-23.25,-0.3039,44,0.1579,0.4667,0,,,12,-0.25,-0.1429,102.5,-0.0284,0.3312,196,0.0155,-0.0577,1.0963,-0.1095,0.5085,-0.0128,0.1384,-0.0508,0.5328,1,0
201811,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,149950,0.0013,0,1001,-0.038,-0.0476,146.5482048,0.0079,0.0261,1236,0.0077,-0.0433,0.1982,0.1128,0.0542,91.5,3,0.0339,-2,-0.0214,198,-0.2556,-0.1538,16,0.6,1.6667,142,-0.0405,0.1452,42,0.0244,0.1667,1278,0.0083,-0.0377,0.034,0.0006,0.0061,-0.1404,-0.0163,-0.1412,0.0429,0,0
201811,17540,"Clinton, IA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,241000,0,-0.0547,1512,0,-0.0366,168.3733249,0.0082,0.0178,8,0,0,0,-1,-1,138,21,0.1795,66.5,0.9301,0,,,0,,,0,,,2,0,,10,0,0.25,0.25,0,0.25,-0.2773,0.3438,-0.2875,0.1875,1,0
201811,39340,"Provo-Orem, UT",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,229500,0.0806,0.1712,1274,0.1083,0.0884,181.9702679,-0.0076,0.3981,41.5,0.0122,0.537,0.4578,-0.0121,0.2362,32,1,0.0323,-22,-0.4074,28,0.2727,1.8,0,-1,,8,-0.4286,3,48,-0.0204,0.5738,89.5,-0.0056,0.5565,1.1566,-0.0385,0.027,-0.1257,0.4446,-0.1467,-0.0303,0,0
201811,31820,"Manitowoc, WI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,174850,-0.131,0.4749,1585,-0.045,0.2308,108.1450355,-0.0788,0.0379,8,-0.0588,-0.5556,0.1875,0.0629,0.1254,93.5,-19.75,-0.1744,28,0.4275,0,-1,-1,0,,,0,,-1,0,,,8,-0.0588,-0.5556,0,0,0,-0.3801,-0.3325,-0.3474,0.55,0,0
201811,37260,"Palatka, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,189550,-0.0501,0.724,1004,0,-0.1689,188.7450199,-0.0502,0.9652,1.5,0.5,-0.6667,0.3333,,2,228.75,-46.75,-0.1697,54.25,0.3109,0,,,0,,,0,,,0.5,-0.5,,2,0,-0.5556,0.3333,-0.6667,0.3333,3.5926,-0.5474,1.5357,0,1,0
201811,48900,"Wilmington, NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,247450,0.0322,0.1361,1100,0.0018,-0.0005,214.3679971,0.002,0.1471,101,-0.0098,-0.2734,0.2029,0.294,-0.312,88.75,5,0.0597,24.75,0.3867,20,-0.2857,-0.3333,0,,,6,-0.5,-0.5714,74,-0.1084,-0.1294,175,-0.0541,-0.2188,0.7327,-0.0811,0.1212,-0.0756,-0.2521,-0.0155,0.0496,0,0
201811,14140,"Bluefield, WV-VA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,69550,0,,864,0,,80.43981481,0,,1,0,,0,,,100.5,28,0.3862,,,0,,,0,,,0,,,0,,,1,0,,0,0,,-0.1346,,-0.1346,,0,0
201811,15060,"Brookings, OR",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,370525,0.0321,-0.0276,1245,0.0272,-0.0802,294.0926074,0.0046,0.1062,10,-0.1304,-0.0909,0.1499,-0.1381,-0.3403,97.75,5,0.0539,9,0.1014,0,-1,,0,,,0,-1,,0,,,10,-0.1304,-0.0909,0,0,0,-0.3029,-0.2225,-0.1518,-0.0061,0,0
201811,38740,"Poplar Bluff, MO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,274950,0,,2020,0,,136.0891089,0,,1,0,,0.5,-0.5,,29.5,17.5,1.4583,,,0,,,0,,,0,,,0,,,1,0,,0,0,,-0.3333,,-0.3333,,0,0
