Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201811,37020,"Owosso, MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,213150,0,,1470,0,,144.9659864,0,,1,0,,0,,,131.5,28,0.2705,,,0,,,0,,,0,,,0,,,1,0,,0,0,,0.1176,,0.1176,,0,0
201811,40420,"Rockford, IL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,153625,-0.0688,0.2536,2027.5,0,0.1487,72.77027237,-0.0109,0.0701,27,-0.194,-0.194,0.2963,0.2413,0.4183,77.25,6.25,0.088,-7.75,-0.0912,12,0.2,1,0,,,8,-0.2,0.3333,19,0.5833,1.9231,46,0.011,0.15,0.7037,0.3455,0.5097,-0.1965,0.0354,-0.0052,0.195,1,0
201811,37260,"Palatka, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,180050,-0.0995,0.132,2200,0,0.5172,81.81818182,-0.0996,-0.2539,2.5,-0.1667,1.5,0,-1,-1,163.25,28.75,0.2138,157.25,26.2083,0,,-1,0,,,0,,,0.5,,,3,0,2,0.2,0.2,0.2,-0.5738,0,-0.3934,-0.2885,1,0
201811,10620,"Albemarle, NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,90800,0.0524,0.2291,1186.5,-0.0701,-0.1188,77.81074736,0.1095,0.418,2,0,1,0,-1,,80,-36.5,-0.3133,-147.75,-0.6487,0,,,0,,,0,,,0,-1,,2,-0.3333,1,0,-0.5,0,-0.3964,1.7705,-0.5602,0.377,0,0
201811,16860,"Chattanooga, TN-GA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,280050,0.0371,0.1135,2140,0,-0.0372,129.9216026,0.0107,0.0081,60.5,0.0083,0.2474,0.1735,-0.1671,-0.457,77.5,-7,-0.0828,22.75,0.4155,12,0,0.2,0,,,10,-0.375,0,0,,-1,60.5,0.0083,0.2222,0,0,-0.0206,-0.0717,-0.0017,-0.1224,-0.1887,0,0
201811,34940,"Naples-Immokalee-Marco Island, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,430878.5,0.0101,-0.0419,2099.5,-0.0033,-0.0218,200.5334088,0.0277,-0.0595,1362,0.0931,0.0599,0.1842,-0.0275,-0.0092,111.5,-18.25,-0.1407,-25.5,-0.1861,258,-0.0444,0,24,1,0.5,168,0.12,-0.0345,189.5,0.0922,0.0188,1551.5,0.093,0.0547,0.1391,-0.0001,-0.0056,0.0742,0.2809,-0.0175,0.2174,0,0
201811,34300,"Mountain Home, ID",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,118550,0.0034,-0.0346,1489,0,0.0398,79.58361316,-0.0084,-0.0719,0.5,-0.6667,-0.75,0,,-1,67,17.75,0.3604,60,8.5714,0,,-1,0,,,0,-1,,0,,,0.5,-0.6667,-0.75,0,0,0,-0.75,-0.8759,-0.2963,-0.6686,0,0
201811,21260,"Ellensburg, WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,224050,0,,2020,0,,110.8910891,0,,1,0,,0,,,68.5,14,0.2569,,,0,,,0,,,0,,,0,,,1,0,,0,0,,1,,1,,0,0
201811,25500,"Harrisonburg, VA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,145775,-0.022,-0.4227,1292,0,-0.3624,110.8247423,0,-0.0968,4,-0.2,1,0,,-1,72.75,23.25,0.4697,17.75,0.3227,0,,,0,,,0,,,0,,,4,-0.2,1,0,0,0,-0.3738,1.0701,-0.3204,-0.2708,0,0
201811,36460,"Olean, NY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,247000,-0.0255,-0.0091,1455,-0.0034,0.0069,161.3004389,-0.0083,-0.0768,31,-0.0606,-0.3737,0.0323,-0.6953,0.6069,449.5,11.25,0.0257,219,0.9501,0,,-1,0,,,0,-1,-1,0,,,31,-0.0606,-0.3737,0,0,0,-0.3713,-0.1967,-0.3333,0.2,0,0
