Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201811,38060,"Phoenix-Mesa-Scottsdale, AZ",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,480050,0,-0.342,3229,-0.1763,-0.0586,115.950491,-0.0701,-0.4568,2.5,0.6667,-0.375,0.3999,0.1998,,97,-68.5,-0.4139,5,0.0543,0,,,0,,,0,,-1,0,,,2.5,0.6667,-0.375,0,0,0,-0.2018,-0.5714,-0.5417,-0.34,0,0
201811,28580,"Key West, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,9300950,0,0,,,,,,,1,0,0,0,,,1014.5,28,0.0284,364,0.5596,0,,,0,,,0,,,0,,,1,0,0,0,0,0,-0.1892,1.7273,-0.1892,1.7273,0,1
201811,19740,"Denver-Aurora-Lakewood, CO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,650050,0,,3080,0,,211.038961,0,,1,0,,0,,,78.5,28,0.5545,,,0,,,0,,,0,,,0,,,1,0,,0,0,,0.2414,,0.2414,,0,0
201811,15180,"Brownsville-Harlingen, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,699550,0,,4050,0,,172.5701531,0,,4,0,,0,,,239.5,28,0.1324,,,0,,,0,,,0,,,0,,,4,0,,0,0,,-0.2857,,-0.1818,,0,0
201811,18180,"Concord, NH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,149050,0,,2770,0,,53.79061372,0,,1,0,,0,,,173,24.5,0.165,,,0,,,0,,,0,,,0,,,1,0,,0,0,,-0.2043,,-0.1828,,0,0
201811,26090,"Holland, MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,799050,0,0,5962,0,0,134.0154311,0,0,0,-1,-1,,,,372,-173.5,-0.3181,162.5,0.7757,0,,,0,,,0,,,0,,,0,-1,-1,,,,-0.3333,-0.5652,,,0,0
201811,25200,"Hailey, ID",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,2600050,0,0,4180,0,0,622.0095694,0,0,1,0,0,0,,,632,17.5,0.0285,357,1.2982,0,,,0,,,0,,,0,,,1,0,0,0,0,0,-0.2632,0.75,-0.1053,1.125,0,0
201811,18300,"Coos Bay, OR",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,225050,0,-0.4999,2597,0,-0.459,86.63842896,0,-0.0759,1,0,1,0,,,124.5,28,0.2902,64,1.0579,0,,,0,,,0,,,0,,,1,0,1,0,0,0,4.5,-0.551,4.5,-0.6563,0,0
201811,11700,"Asheville, NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,2800050,0,,27796,0,,100.7339185,0,,1,0,,0,,,266.5,21,0.0855,,,0,,,0,,,0,,,0,,,1,0,,0,0,,-0.45,,-0.45,,0,0
201811,10460,"Alamogordo, NM",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,274950,0,-0.0833,2622,0,0,104.8436308,0,-0.0834,1,0,0,0,,,166.5,28,0.2022,129,3.44,0,,,0,,,0,,,0,,,1,0,0,0,0,0,-0.06,-0.3088,-0.06,-0.3088,0,0
201811,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,80050,0,0,984,0,-0.3223,81.30081301,0,-0.0092,7,0,-0.1765,0,-1,-1,807.5,28,0.0359,364,0.8207,0,,,0,,,0,,,0,,,7,0,-0.1765,0,0,0,-0.0761,-0.1327,-0.04,0.1429,0,0
201811,38900,"Portland-Vancouver-Hillsboro, OR-WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,775050,0,-0.1388,3766.5,-0.0612,-0.1547,189.4420325,0,-0.062,2.5,0.25,-0.1667,0,,-1,246.25,22.75,0.1018,166.75,2.0975,0,,,0,,,0,,,0,,,2.5,0.25,-0.1667,0,0,0,1.2909,0.3125,0.7778,0.5484,0,0
201811,42340,"Savannah, GA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,1295050,0,0.7886,4800,0,0.4168,269.7916667,0,0.2625,3,0,2,0.1666,-0.7502,,47.5,21,0.7925,-9,-0.1593,0,,,0,,,4,,,0,,,3,0,2,0,0,0,-0.3199,3.9167,-0.3203,0.6354,0,0
201811,12580,"Baltimore-Columbia-Towson, MD",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,264547.5,-0.0195,0.197,2621.5,-0.0976,-0.1646,104.0951456,-0.0464,0.0164,41,0.0933,0.64,0.1219,0.3065,-0.4921,111.5,19.5,0.212,17,0.1799,4,-0.5,0,0,,,4,-0.3333,-0.3333,0,,,41,0.0933,0.64,0,0,0,0.2116,1.0797,0.1091,0.22,0,0
201811,41760,"Sandpoint, ID",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,149550,0,-0.9094,2700,0,-0.3524,55.37037037,0,-0.8601,1,0,-0.5,0,,,119.5,28,0.306,-108,-0.4747,0,,,0,,,0,,,0,,,1,0,-0.5,0,0,0,,-0.8571,,-0.8571,0,0
