Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201811,36540,"Omaha-Council Bluffs, NE-IA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,193725,-0.1651,0.659,930,-0.0335,0.0479,218.9871045,-0.0523,0.4214,29.5,-0.1194,0.4048,0.2711,-0.2732,-0.0512,46,-7.5,-0.1402,-10.75,-0.1894,0,-1,-1,0,,,2,-0.6667,0,0,,-1,29.5,-0.1194,-0.0328,0,0,-0.4524,-0.3377,-0.0208,-0.2385,-0.3083,1,0
201811,10140,"Aberdeen, WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,81550,0.0316,-0.1638,612,-0.0467,-0.0893,140.8939732,-0.0215,-0.0344,20.5,0.0513,0,0.1463,-0.3659,1.0013,88.75,8,0.0991,-45,-0.3364,2,0,,0,,,0,,-1,1.5,0.5,-0.25,22,0.0732,-0.0222,0.0732,0.0219,-0.0244,-0.216,0.1861,-0.2353,0.2264,0,0
201811,26420,"Houston-The Woodlands-Sugar Land, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,146675,-0.0215,0.0481,793,0.0038,0.0009,188.5763414,-0.0748,0.0012,472.5,-0.0228,0.095,0.2783,-0.0177,-0.0617,65,5,0.0833,4,0.0656,118,-0.2027,-0.1061,0,-1,-1,92,-0.2813,0.3143,109,-0.0396,-0.1679,581.5,-0.026,0.0338,0.2307,-0.0041,-0.0729,-0.09,0.0412,-0.0769,-0.0588,0,0
201811,34740,"Muskegon, MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,129950,-0.0371,0.0048,791,0,-0.3131,192.0840065,-0.0084,0.8138,9,0.0588,3.5,0.0555,-0.8821,,56.5,21,0.5915,-7,-0.1102,0,-1,,0,,,0,,,0,,,9,0.0588,3.5,0,0,0,-0.3629,2.9752,-0.4157,-0.1333,0,0
201811,23860,"Georgetown, SC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,153784.5,0.0605,-0.1088,501,0,0,285.9740519,-0.0117,-0.1695,11.5,0.15,-0.3429,0.2608,,3.5674,201.5,-55.25,-0.2152,88,0.7753,2,,,0,,,0,,,0,,,11.5,0.15,-0.3429,0,0,0,0.6983,-0.3091,0.5,0.125,0,0
201811,17140,"Cincinnati, OH-KY-IN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,226275,0.0402,-0.0373,882,0.0298,-0.0342,223.4825273,-0.031,-0.0309,50,-0.0385,-0.2754,0.2199,-0.2113,-0.021,72.25,0.5,0.007,-2.25,-0.0302,12,-0.25,0.2,0,,,4,-0.7143,-0.7143,17.5,0.0606,-0.1026,67.5,-0.0146,-0.2373,0.35,0.0327,0.0674,-0.1799,-0.0981,-0.1489,0.1594,0,1
201811,45220,"Tallahassee, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,158050,0.0785,0.3898,703,0,-0.0025,236.8815592,0,0.674,30.5,-0.0469,0.4878,0.0655,-0.7379,-0.7558,106.5,34.5,0.4792,2.5,0.024,0,-1,-1,0,,,2,,-0.5,1,-0.5,-0.5,31.5,-0.0735,0.4,0.0328,-0.0297,-0.0648,-0.3406,0.207,-0.3043,-0.2381,0,0
201811,14820,"Brevard, NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,184632,0,-0.211,750,0,-0.1176,265.9682997,0,0.1175,3,0,-0.6667,0,,,252.5,28,0.1247,-188,-0.4268,0,,,0,,,0,,,1,0,,4,0,-0.5556,0.3333,0,0.3333,-0.1449,-0.6695,-0.1333,-0.093,1,0
201811,15680,"California-Lexington Park, MD",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,115050,-0.3055,0,879,-0.1584,-0.0414,151.5151515,-0.0497,0.2331,3,0.2,-0.4,0.3333,,,127.5,-27.5,-0.1774,73,1.3394,2,,,0,,,0,,,0,,,3,0.2,-0.4,0,0,0,0.0874,-0.2866,-0.0769,0.1613,0,0
201811,34900,"Napa, CA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,520050,-0.0095,-0.058,676,0,-0.0445,738.1656805,-0.0149,0.0592,6.5,-0.0714,1.6,0.0769,-0.6412,-0.8078,107.5,24,0.2874,48.25,0.8143,0,,,0,,,2,0,,0,,,6.5,-0.0714,1.6,0,0,0,-0.134,0.1556,-0.1311,-0.5351,0,0
201811,31660,"Malone, NY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,239050,0.4545,-0.0772,900,-0.2021,0.125,265.5555556,0.8231,-0.1798,1,,0,1,,,4,-170,-0.977,-884.5,-0.9955,4,,,0,,,0,,,0,,,1,,0,0,,0,2.2,,,,0,0
201811,35840,"North Port-Sarasota-Bradenton, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,249950,0.0594,0.3157,766.5,0.0132,0.0565,334.4390812,0.0196,0.2042,195.5,0.0568,0.0712,0.2327,0.0379,-0.056,107.5,-9,-0.0773,21,0.2428,62,0.24,0.24,0,-1,-1,32,-0.1111,-0.0588,95.5,0.0437,0.4922,291,0.0524,0.1805,0.4885,-0.0061,0.1378,-0.0048,-0.0733,-0.0761,-0.1414,0,0
